"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 22, 2021","19,056.0","20,006.5","20,058.5","18,983.5","-","-4.53%"
"Feb 19, 2021","19,960.0","19,832.0","19,978.0","19,628.0","315.16K","0.73%"
"Feb 18, 2021","19,815.0","20,514.0","20,606.0","19,754.0","491.93K","-3.38%"
"Feb 17, 2021","20,508.0","20,398.0","20,524.0","20,314.0","84.24K","0.53%"
"Feb 16, 2021","20,399.0","20,238.0","20,438.0","20,231.0","54.65K","0.75%"
"Feb 15, 2021","20,247.0","20,114.0","20,250.0","20,106.0","34.56K","0.65%"
"Feb 12, 2021","20,117.0","20,130.0","20,187.0","20,098.0","31.19K","0.03%"
"Feb 11, 2021","20,110.0","20,027.0","20,130.0","19,876.0","66.57K","0.44%"
"Feb 10, 2021","20,021.0","20,027.0","20,068.0","20,027.0","5.76K","2.63%"
"Feb 09, 2021","19,508.0","19,196.0","19,541.0","19,148.0","236.29K","1.62%"
"Feb 08, 2021","19,197.0","19,114.0","19,337.0","19,035.0","247.11K","0.41%"
"Feb 05, 2021","19,118.0","18,814.0","19,264.0","18,784.0","289.31K","1.61%"
"Feb 04, 2021","18,815.0","18,672.0","18,980.0","18,539.0","322.82K","0.71%"
"Feb 03, 2021","18,683.0","18,550.0","18,704.0","18,479.0","228.68K","0.72%"
"Feb 02, 2021","18,550.0","18,337.0","18,576.0","18,303.0","256.32K","1.20%"
"Feb 01, 2021","18,330.0","18,125.0","18,390.0","18,060.0","280.30K","1.15%"
"Jan 29, 2021","18,122.0","18,100.0","18,397.0","17,976.0","395.21K","-0.74%"
"Jan 28, 2021","18,257.0","18,550.0","18,568.0","18,153.0","110.02K","-1.63%"
"Jan 27, 2021","18,560.0","18,600.0","18,725.0","18,430.0","317.24K","-0.22%"
"Jan 26, 2021","18,600.0","18,946.0","18,948.0","18,554.0","462.93K","-1.85%"
"Jan 25, 2021","18,950.0","18,563.0","19,033.0","18,513.0","397.00K","2.11%"
"Jan 22, 2021","18,558.0","18,639.0","18,687.0","18,490.0","274.63K","-0.46%"
"Jan 21, 2021","18,643.0","18,358.0","18,795.0","18,353.0","323.75K","1.57%"
"Jan 20, 2021","18,354.0","18,361.0","18,525.0","18,280.0","247.31K","-0.09%"
"Jan 19, 2021","18,371.0","18,586.0","18,682.0","18,281.0","308.30K","-1.18%"
"Jan 18, 2021","18,590.0","18,482.0","18,718.0","18,364.0","293.09K","0.58%"
"Jan 15, 2021","18,482.0","18,489.0","18,705.0","18,307.0","404.27K","-0.03%"
"Jan 14, 2021","18,487.0","18,840.0","18,864.0","18,410.0","357.54K","-1.87%"
"Jan 13, 2021","18,839.0","18,985.0","19,107.0","18,702.0","336.57K","-0.72%"
"Jan 12, 2021","18,976.0","18,429.0","19,020.0","18,336.0","317.97K","2.98%"
"Jan 11, 2021","18,426.0","18,540.0","18,757.0","18,333.0","386.94K","-0.63%"
"Jan 08, 2021","18,543.0","18,790.0","18,943.0","18,442.0","406.72K","-1.26%"
"Jan 07, 2021","18,779.0","18,340.0","18,821.0","18,325.0","361.43K","2.34%"
"Jan 06, 2021","18,350.0","18,038.0","18,404.0","18,027.0","337.85K","1.66%"
"Jan 05, 2021","18,051.0","17,804.0","18,099.0","17,660.0","323.44K","1.40%"
"Jan 04, 2021","17,802.0","17,709.0","17,886.0","17,551.0","294.63K","0.51%"
"Dec 31, 2020","17,712.0","17,413.0","17,754.0","17,387.0","218.59K","1.86%"
"Dec 30, 2020","17,388.0","17,151.0","17,388.0","17,114.0","41.90K","1.35%"
"Dec 29, 2020","17,156.0","17,231.0","17,285.0","17,092.0","241.93K","-0.44%"
"Dec 28, 2020","17,231.0","17,036.0","17,249.0","16,982.0","303.99K","1.16%"
"Dec 25, 2020","17,033.0","16,947.0","17,036.0","16,834.0","69.02K","0.48%"
"Dec 24, 2020","16,951.0","16,941.0","17,014.0","16,844.0","198.90K","0.08%"
"Dec 23, 2020","16,937.0","16,907.0","17,108.0","16,822.0","280.37K","0.19%"
"Dec 22, 2020","16,905.0","17,006.0","17,097.0","16,792.0","258.61K","-0.61%"
"Dec 21, 2020","17,009.0","16,880.0","17,058.0","16,770.0","231.52K","0.72%"
"Dec 18, 2020","16,888.0","17,053.0","17,069.0","16,830.0","212.68K","-1.00%"
"Dec 17, 2020","17,059.0","16,848.0","17,080.0","16,803.0","215.53K","1.26%"
"Dec 16, 2020","16,846.0","16,731.0","16,849.0","16,731.0","155.39K","0.73%"
"Dec 15, 2020","16,724.0","16,738.0","16,778.0","16,523.0","189.52K","-0.08%"
"Dec 14, 2020","16,737.0","16,489.0","16,774.0","16,467.0","207.27K","1.49%"
"Dec 11, 2020","16,491.0","16,688.0","16,769.0","16,433.0","275.17K","-1.18%"
"Dec 10, 2020","16,688.0","16,733.0","16,762.0","16,594.0","245.06K","-0.25%"
"Dec 09, 2020","16,729.0","16,863.0","16,967.0","16,693.0","214.73K","-0.77%"
"Dec 08, 2020","16,858.0","16,862.0","17,000.0","16,836.0","177.14K","-0.01%"
"Dec 07, 2020","16,860.0","17,040.0","17,081.0","16,825.0","238.32K","-1.06%"
"Dec 04, 2020","17,041.0","17,020.0","17,110.0","16,882.0","219.42K","0.11%"
"Dec 03, 2020","17,022.0","17,036.0","17,099.0","16,926.0","220.38K","-0.03%"
"Dec 02, 2020","17,027.0","17,012.0","17,147.0","16,944.0","248.69K","0.09%"
"Dec 01, 2020","17,011.0","16,728.0","17,095.0","16,654.0","298.87K","1.76%"
"Nov 30, 2020","16,717.0","16,857.0","17,213.0","16,685.0","346.56K","-0.77%"
"Nov 27, 2020","16,846.0","16,599.0","16,848.0","16,590.0","51.79K","1.48%"
"Nov 26, 2020","16,601.0","16,467.0","16,636.0","16,422.0","228.57K","0.73%"
"Nov 25, 2020","16,480.0","16,638.5","16,724.0","16,395.0","-","-0.78%"
"Nov 24, 2020","16,610.0","16,774.0","16,785.0","16,586.0","302.96K","-0.91%"
"Nov 23, 2020","16,763.0","16,487.0","16,843.0","16,473.0","270.92K","1.70%"
"Nov 20, 2020","16,483.0","16,470.0","16,549.0","16,438.0","169.17K","-0.05%"
"Nov 19, 2020","16,492.0","16,357.0","16,564.0","16,284.0","219.21K","0.81%"
"Nov 18, 2020","16,359.0","16,289.0","16,449.0","16,254.0","220.19K","0.44%"
"Nov 17, 2020","16,287.0","16,290.0","16,364.0","16,215.0","215.72K","-0.06%"
"Nov 16, 2020","16,297.0","16,088.0","16,333.0","16,046.0","229.31K","1.35%"
"Nov 13, 2020","16,080.0","16,389.0","16,462.0","15,969.0","300.71K","-1.93%"
"Nov 12, 2020","16,397.0","16,432.0","16,492.0","16,297.0","196.62K","-0.08%"
"Nov 11, 2020","16,410.0","16,526.0","16,567.0","16,366.0","234.79K","-0.71%"
"Nov 10, 2020","16,528.0","16,514.0","16,827.0","16,418.0","318.50K","0.11%"
"Nov 09, 2020","16,510.0","16,251.0","16,614.0","16,199.0","308.06K","1.45%"
"Nov 06, 2020","16,274.0","16,425.0","16,580.0","16,155.0","308.70K","-0.91%"
"Nov 05, 2020","16,424.0","16,061.0","16,444.0","16,033.0","317.52K","2.17%"
"Nov 04, 2020","16,075.0","15,946.0","16,158.0","15,856.0","314.34K","0.80%"
"Nov 03, 2020","15,948.0","15,770.0","16,014.0","15,751.0","203.80K","1.25%"
"Nov 02, 2020","15,751.0","15,681.0","15,846.0","15,665.0","220.05K","0.47%"
"Oct 30, 2020","15,677.0","15,890.0","15,945.0","15,585.0","256.08K","-1.63%"
"Oct 29, 2020","15,936.0","15,806.0","16,125.0","15,703.0","84.82K","0.79%"
"Oct 28, 2020","15,811.0","15,746.0","15,924.0","15,710.0","287.84K","0.51%"
"Oct 27, 2020","15,731.0","15,818.0","15,844.0","15,690.0","340.24K","-0.56%"
"Oct 26, 2020","15,820.0","16,075.0","16,112.0","15,683.0","278.94K","-1.64%"
"Oct 23, 2020","16,083.0","16,096.0","16,221.0","15,975.0","276.02K","-0.09%"
"Oct 22, 2020","16,097.0","16,000.0","16,105.0","15,810.0","226.63K","0.49%"
"Oct 21, 2020","16,018.0","15,945.0","16,280.0","15,880.0","187.93K","0.42%"
"Oct 20, 2020","15,951.0","15,888.0","15,957.0","15,835.0","169.15K","0.44%"
"Oct 19, 2020","15,881.0","15,936.0","16,254.0","15,841.0","239.00K","-0.32%"
"Oct 16, 2020","15,932.0","15,882.5","16,078.5","15,860.0","-","0.66%"
"Oct 15, 2020","15,828.0","15,904.0","16,025.0","15,808.0","205.91K","-0.48%"
"Oct 14, 2020","15,904.0","15,960.0","16,008.0","15,846.0","168.06K","-0.36%"
"Oct 13, 2020","15,961.0","15,913.0","15,984.0","15,818.0","156.21K","0.24%"
"Oct 12, 2020","15,922.0","15,426.0","15,939.0","15,416.0","278.95K","3.25%"
"Oct 09, 2020","15,421.0","15,460.0","15,545.0","15,374.0","242.29K","-0.03%"
"Oct 07, 2020","15,425.0","15,350.0","15,485.0","15,323.0","72.70K","0.49%"
"Oct 06, 2020","15,350.0","15,213.0","15,399.0","15,198.0","82.68K","0.90%"
"Oct 05, 2020","15,213.0","15,147.5","15,317.0","15,085.0","85.92K","0.42%"
"Oct 02, 2020","15,150.0","15,372.5","15,405.0","14,982.5","76.57K","-1.51%"
"Oct 01, 2020","15,382.5","15,117.5","15,430.0","15,105.0","57.23K","1.74%"
"Sep 30, 2020","15,120.0","15,175.0","15,377.5","15,080.0","280.30K","-0.46%"
"Sep 29, 2020","15,190.0","15,245.0","15,372.5","15,187.5","59.00K","-0.44%"
"Sep 28, 2020","15,257.5","15,100.0","15,337.5","14,960.0","315.39K","1.13%"
"Sep 25, 2020","15,087.5","15,067.5","15,195.0","15,015.0","380.17K","0.17%"
"Sep 24, 2020","15,062.5","15,295.0","15,315.0","15,015.0","426.50K","-1.42%"
"Sep 23, 2020","15,280.0","15,317.5","15,377.5","15,205.0","215.85K","-0.29%"
"Sep 22, 2020","15,325.0","15,400.0","15,535.0","15,235.0","275.84K","-0.63%"
"Sep 21, 2020","15,422.5","15,610.0","15,722.5","15,417.5","267.70K","-1.19%"
"Sep 18, 2020","15,607.5","15,260.0","15,655.0","15,222.5","364.46K","2.33%"
"Sep 17, 2020","15,252.5","15,410.0","15,445.0","15,172.5","231.67K","-1.02%"
"Sep 16, 2020","15,410.0","15,540.0","15,577.5","15,332.5","191.53K","-0.84%"
"Sep 15, 2020","15,540.0","15,370.0","15,547.5","15,345.0","188.89K","1.12%"
"Sep 14, 2020","15,367.5","15,277.5","15,427.5","15,192.5","184.10K","0.62%"
"Sep 11, 2020","15,272.5","15,187.5","15,322.5","15,095.0","209.45K","0.53%"
"Sep 10, 2020","15,192.5","15,175.0","15,330.0","15,165.0","231.05K","0.05%"
"Sep 09, 2020","15,185.0","15,320.0","15,330.0","15,022.5","315.46K","-1.01%"
"Sep 08, 2020","15,340.0","15,232.5","15,427.5","15,205.0","242.55K","0.62%"
"Sep 07, 2020","15,245.0","15,527.5","15,562.5","15,145.0","286.74K","-1.84%"
"Sep 04, 2020","15,530.0","15,652.5","15,662.5","15,327.5","295.34K","-0.81%"
"Sep 03, 2020","15,657.5","15,695.0","15,832.5","15,577.5","270.32K","-0.19%"
"Sep 02, 2020","15,687.5","15,710.0","15,792.5","15,525.0","263.74K","-0.24%"
"Sep 01, 2020","15,725.0","15,575.0","15,725.0","15,507.5","279.47K","0.98%"
"Aug 31, 2020","15,572.5","15,757.5","15,992.5","15,515.0","374.62K","-1.55%"
"Aug 28, 2020","15,817.5","15,425.0","15,847.5","15,365.0","80.67K","2.51%"
"Aug 27, 2020","15,430.0","15,430.0","15,465.0","15,280.0","273.91K","0.03%"
"Aug 26, 2020","15,425.0","15,547.5","15,635.0","15,340.0","386.41K","-0.76%"
"Aug 25, 2020","15,542.5","15,430.0","15,630.0","15,377.5","349.78K","0.84%"
"Aug 24, 2020","15,412.5","15,330.0","15,562.5","15,275.0","260.30K","0.55%"
"Aug 21, 2020","15,327.5","15,290.0","15,450.0","15,242.5","235.70K","0.31%"
"Aug 20, 2020","15,280.0","15,430.0","15,472.5","15,160.0","313.56K","-0.97%"
"Aug 19, 2020","15,430.0","15,647.5","15,685.0","15,400.0","238.80K","-1.36%"
"Aug 18, 2020","15,642.5","15,682.5","15,745.0","15,577.5","193.33K","-0.27%"
"Aug 17, 2020","15,685.0","15,287.5","15,837.5","15,270.0","346.11K","2.57%"
"Aug 14, 2020","15,292.5","15,075.0","15,387.5","15,057.5","253.46K","1.48%"
"Aug 13, 2020","15,070.0","15,152.5","15,275.0","15,040.0","240.25K","-0.51%"
"Aug 12, 2020","15,147.5","15,265.0","15,265.0","14,960.0","398.38K","-0.59%"
"Aug 11, 2020","15,237.5","15,220.0","15,525.0","15,152.5","347.25K","0.07%"
"Aug 10, 2020","15,227.5","15,140.0","15,322.5","14,947.5","346.91K","0.58%"
"Aug 07, 2020","15,140.0","15,272.5","15,340.0","14,922.5","393.41K","-0.90%"
"Aug 06, 2020","15,277.5","15,287.5","15,417.5","15,060.0","361.59K","-0.02%"
"Aug 05, 2020","15,280.0","15,330.0","15,450.0","15,152.5","290.94K","-0.31%"
"Aug 04, 2020","15,327.5","15,280.0","15,520.0","15,262.5","329.78K","0.29%"
"Aug 03, 2020","15,282.5","15,150.0","15,400.0","15,042.5","288.51K","0.96%"
"Jul 31, 2020","15,137.5","15,040.0","15,412.5","14,965.0","400.81K","-0.41%"
"Jul 30, 2020","15,200.0","15,272.5","15,370.0","15,200.0","75.37K","-0.44%"
"Jul 29, 2020","15,267.5","15,042.5","15,305.0","14,935.0","413.05K","1.61%"
"Jul 28, 2020","15,025.0","14,845.0","15,150.0","14,845.0","447.91K","1.20%"
