"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2021","57,122.0","55,847.0","57,352.0","55,182.0","11.79K","2.28%"
"Feb 19, 2021","55,847.0","51,566.0","56,093.0","51,079.0","11.80K","8.30%"
"Feb 18, 2021","51,566.0","52,060.0","52,433.0","51,356.9","5.87K","-0.95%"
"Feb 17, 2021","52,060.0","49,225.0","52,284.0","49,225.0","9.21K","5.76%"
"Feb 16, 2021","49,225.0","47,941.0","49,533.5","47,643.0","13.04K","2.68%"
"Feb 15, 2021","47,941.0","48,587.0","48,694.0","46,563.0","9.88K","-1.33%"
"Feb 14, 2021","48,587.0","47,177.0","49,279.0","47,177.0","7.34K","2.99%"
"Feb 13, 2021","47,177.0","47,389.0","47,939.0","46,582.0","5.23K","-0.45%"
"Feb 12, 2021","47,389.0","47,966.0","48,540.0","47,072.0","10.79K","-1.20%"
"Feb 11, 2021","47,966.0","44,835.0","47,981.0","44,444.0","10.30K","6.98%"
"Feb 10, 2021","44,835.0","46,486.0","47,056.0","44,541.0","10.02K","-3.55%"
"Feb 09, 2021","46,486.0","46,440.0","48,004.0","45,882.0","15.90K","0.10%"
"Feb 08, 2021","46,440.0","38,841.0","46,440.0","38,250.0","24.79K","19.56%"
"Feb 07, 2021","38,841.0","39,257.0","39,561.0","38,061.0","7.63K","-1.06%"
"Feb 06, 2021","39,257.0","38,260.0","40,780.0","38,260.0","10.18K","2.61%"
"Feb 05, 2021","38,260.0","36,975.0","38,260.0","36,759.0","4.48K","3.48%"
"Feb 04, 2021","36,975.0","37,677.0","37,998.0","36,521.0","6.42K","-1.86%"
"Feb 03, 2021","37,677.0","35,563.0","37,677.0","35,563.0","8.80K","5.94%"
"Feb 02, 2021","35,563.0","33,559.0","35,960.0","33,559.0","7.01K","5.97%"
"Feb 01, 2021","33,559.0","33,141.0","34,460.1","32,595.0","5.30K","1.26%"
"Jan 31, 2021","33,141.0","34,334.0","34,334.0","32,270.0","5.82K","-3.47%"
"Jan 30, 2021","34,334.0","34,268.0","34,791.0","33,136.6","7.29K","0.16%"
"Jan 29, 2021","34,280.7","33,350.0","38,056.0","32,466.0","28.64K","2.85%"
"Jan 28, 2021","33,331.0","30,454.0","33,418.0","30,344.0","9.17K","9.45%"
"Jan 27, 2021","30,454.0","32,519.0","32,519.0","29,815.0","14.77K","-6.35%"
"Jan 26, 2021","32,519.0","32,268.1","32,735.1","31,434.0","8.54K","0.78%"
