"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 20, 2021","2,018.20","1,957.69","2,018.20","1,957.69","13.16K","3.22%"
"Feb 19, 2021","1,955.16","1,938.61","1,955.16","1,915.69","9.34K","0.92%"
"Feb 18, 2021","1,937.25","1,851.65","1,937.25","1,851.65","8.64K","4.86%"
"Feb 17, 2021","1,847.48","1,781.83","1,847.48","1,765.68","9.76K","3.64%"
"Feb 16, 2021","1,782.57","1,779.81","1,788.57","1,779.81","20.06K","0.16%"
"Feb 15, 2021","1,779.72","1,800.69","1,807.74","1,779.72","22.44K","-1.16%"
"Feb 14, 2021","1,800.69","1,815.05","1,840.23","1,800.69","10.66K","-0.77%"
"Feb 13, 2021","1,814.61","1,838.63","1,849.83","1,807.44","16.66K","-1.33%"
"Feb 12, 2021","1,839.14","1,785.73","1,839.14","1,762.38","13.64K","3.03%"
"Feb 11, 2021","1,785.00","1,741.66","1,792.87","1,741.66","22.44K","2.53%"
"Feb 10, 2021","1,740.96","1,769.56","1,801.82","1,740.96","29.42K","-1.61%"
"Feb 09, 2021","1,769.41","1,748.86","1,769.41","1,748.86","29.05K","1.18%"
"Feb 08, 2021","1,748.86","1,612.28","1,748.86","1,612.28","32.34K","8.50%"
"Feb 07, 2021","1,611.83","1,677.70","1,677.70","1,575.94","32.23K","-3.89%"
"Feb 06, 2021","1,677.06","1,719.59","1,719.59","1,658.99","18.63K","-2.49%"
"Feb 05, 2021","1,719.84","1,595.22","1,735.11","1,595.22","24.42K","7.81%"
"Feb 04, 2021","1,595.22","1,662.39","1,662.39","1,595.22","39.27K","-4.04%"
"Feb 03, 2021","1,662.39","1,512.26","1,662.39","1,512.26","30.56K","10.01%"
"Feb 02, 2021","1,511.11","1,373.33","1,511.11","1,373.33","48.87K","10.05%"
"Feb 01, 2021","1,373.07","1,313.12","1,373.07","1,313.12","28.43K","4.58%"
"Jan 31, 2021","1,312.93","1,375.97","1,375.97","1,312.93","22.42K","-4.58%"
"Jan 30, 2021","1,375.95","1,378.77","1,378.77","1,349.55","36.64K","-0.21%"
"Jan 29, 2021","1,378.79","1,328.09","1,415.69","1,321.51","71.27K","3.82%"
"Jan 28, 2021","1,328.12","1,238.18","1,328.12","1,238.18","39.26K","6.99%"
"Jan 27, 2021","1,241.35","1,365.52","1,365.52","1,241.35","75.75K","-9.09%"
"Jan 26, 2021","1,365.52","1,319.49","1,365.52","1,319.49","61.07K","3.52%"
"Jan 25, 2021","1,319.14","1,390.67","1,408.39","1,319.14","59.20K","-5.13%"
"Jan 24, 2021","1,390.43","1,233.22","1,390.43","1,233.22","35.86K","12.75%"
"Jan 23, 2021","1,233.22","1,233.23","1,259.55","1,233.22","43.02K","-0.07%"
"Jan 22, 2021","1,234.08","1,111.66","1,234.08","1,110.07","114.68K","11.13%"
"Jan 21, 2021","1,110.48","1,377.50","1,377.50","1,110.48","139.43K","-19.38%"
"Jan 20, 2021","1,377.50","1,368.05","1,389.97","1,316.33","101.38K","0.63%"
