"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19, 2021","80.68","82.62","83.34","80.00","8.79M","0.60%"
"Feb 18, 2021","80.20","86.19","87.61","80.01","20.66M","-15.45%"
"Feb 17, 2021","94.85","97.88","97.98","92.18","6.55M","-2.72%"
"Feb 16, 2021","97.50","103.81","105.50","96.21","4.86M","-4.47%"
"Feb 12, 2021","102.06","102.47","103.30","99.31","5.81M","-5.73%"
"Feb 11, 2021","108.26","110.60","112.00","106.93","2.44M","-1.14%"
"Feb 10, 2021","109.51","118.50","119.95","109.05","4.86M","-7.08%"
"Feb 09, 2021","117.86","111.40","119.74","110.35","3.36M","5.56%"
"Feb 08, 2021","111.65","114.30","116.71","111.08","2.49M","-1.33%"
"Feb 05, 2021","113.15","111.29","115.04","108.53","2.06M","1.33%"
"Feb 04, 2021","111.67","112.38","113.76","110.16","2.03M","1.68%"
"Feb 03, 2021","109.83","107.19","112.81","106.59","2.97M","3.32%"
"Feb 02, 2021","106.30","109.98","111.89","104.60","2.73M","-3.07%"
"Feb 01, 2021","109.67","109.67","111.38","105.68","2.82M","0.29%"
"Jan 29, 2021","109.35","109.00","111.68","106.82","3.50M","-0.17%"
"Jan 28, 2021","109.54","110.21","112.90","105.00","4.46M","0.51%"
"Jan 27, 2021","108.98","106.80","122.70","106.54","10.47M","1.86%"
"Jan 26, 2021","106.99","104.51","110.68","104.51","7.38M","1.69%"
"Jan 25, 2021","105.21","104.30","110.99","99.87","6.50M","1.87%"
"Jan 24, 2021","103.28","103.28","103.28","103.28","-","0.00%"
"Jan 22, 2021","103.28","101.97","104.46","99.63","6.66M","-0.82%"
"Jan 21, 2021","104.13","103.54","106.85","100.10","13.01M","6.75%"
"Jan 20, 2021","97.55","98.09","99.57","93.63","5.12M","2.35%"
"Jan 19, 2021","95.31","90.00","97.05","89.36","5.25M","8.05%"
"Jan 15, 2021","88.21","91.50","94.95","87.77","3.40M","-3.19%"
"Jan 14, 2021","91.12","91.09","92.69","89.90","2.55M","0.59%"
"Jan 13, 2021","90.59","90.65","92.45","89.15","2.76M","1.08%"
"Jan 12, 2021","89.62","85.70","89.93","85.24","3.18M","5.32%"
"Jan 11, 2021","85.09","86.47","88.22","84.50","3.27M","-3.55%"
"Jan 10, 2021","88.22","88.22","88.22","88.22","-","0.00%"
"Jan 09, 2021","88.22","88.22","88.22","88.22","-","0.00%"
"Jan 08, 2021","88.22","88.58","90.03","86.70","3.42M","1.51%"
"Jan 07, 2021","86.91","82.81","86.91","82.81","4.49M","6.48%"
"Jan 06, 2021","81.62","84.20","85.29","81.35","5.45M","-5.86%"
"Jan 05, 2021","86.70","85.31","87.31","85.00","2.59M","0.65%"
"Jan 04, 2021","86.14","87.18","87.49","83.38","3.93M","-1.41%"
"Dec 31, 2020","87.37","90.64","90.79","86.38","3.33M","-3.38%"
"Dec 30, 2020","90.43","90.11","91.26","87.93","3.83M","1.03%"
"Dec 29, 2020","89.51","90.87","93.20","88.64","4.59M","-0.79%"
"Dec 28, 2020","90.22","99.42","99.48","90.22","5.13M","-7.46%"
"Dec 24, 2020","97.49","101.51","102.80","97.02","2.76M","-3.11%"
"Dec 23, 2020","100.62","105.10","105.16","100.45","3.56M","-3.96%"
"Dec 22, 2020","104.77","102.19","107.84","102.09","5.71M","3.52%"
"Dec 21, 2020","101.21","99.00","104.73","99.00","4.97M","-0.56%"
"Dec 18, 2020","101.78","102.32","105.62","98.59","10.78M","0.99%"
"Dec 17, 2020","100.78","96.56","102.88","94.93","9.21M","5.92%"
"Dec 16, 2020","95.15","94.00","97.40","93.82","3.86M","1.33%"
"Dec 15, 2020","93.90","94.75","94.81","90.90","4.06M","-0.37%"
"Dec 14, 2020","94.25","96.81","98.88","94.01","4.38M","-1.50%"
"Dec 11, 2020","95.69","96.00","101.09","95.22","7.92M","-1.20%"
"Dec 10, 2020","96.85","90.00","99.09","90.00","10.04M","6.28%"
"Dec 09, 2020","91.13","96.41","97.59","89.43","10.27M","-6.99%"
"Dec 08, 2020","97.98","86.11","100.77","86.11","24.59M","14.69%"
"Dec 07, 2020","85.43","88.69","89.15","84.27","8.36M","-3.65%"
"Dec 04, 2020","88.67","82.69","97.19","82.20","35.55M","7.08%"
"Dec 03, 2020","82.81","80.27","84.21","80.27","4.30M","3.01%"
"Dec 02, 2020","80.39","79.50","80.83","76.12","5.06M","-1.60%"
"Dec 01, 2020","81.70","84.50","85.00","79.24","5.75M","-3.62%"
"Nov 30, 2020","84.77","84.56","87.49","80.85","6.65M","0.56%"
"Nov 27, 2020","84.30","84.75","85.76","82.48","3.54M","1.36%"
"Nov 25, 2020","83.17","79.70","83.71","79.25","5.15M","2.36%"
"Nov 24, 2020","81.25","82.26","82.88","79.49","5.07M","-2.57%"
"Nov 23, 2020","83.39","83.58","84.64","80.44","5.72M","0.47%"
"Nov 22, 2020","83.00","83.00","83.00","83.00","-","0.00%"
"Nov 20, 2020","83.00","80.67","85.45","80.67","5.86M","3.41%"
"Nov 19, 2020","80.26","80.76","82.12","79.51","4.10M","-0.99%"
"Nov 18, 2020","81.06","78.82","82.41","77.41","5.82M","3.49%"
"Nov 17, 2020","78.33","76.08","80.25","76.08","5.72M","3.49%"
"Nov 16, 2020","75.69","75.54","76.81","72.84","6.72M","-2.60%"
"Nov 15, 2020","77.71","77.71","77.71","77.71","-","0.00%"
"Nov 14, 2020","77.71","77.71","77.71","77.71","-","0.00%"
"Nov 13, 2020","77.71","80.00","80.66","76.09","10.17M","1.93%"
"Nov 12, 2020","76.24","72.36","77.40","72.36","8.58M","5.87%"
"Nov 11, 2020","72.01","72.50","73.50","70.40","5.38M","0.56%"
"Nov 10, 2020","71.61","68.50","73.34","65.41","7.66M","2.61%"
"Nov 09, 2020","69.79","69.31","73.00","65.89","7.64M","-4.96%"
"Nov 06, 2020","73.43","73.29","75.06","71.12","6.47M","-0.92%"
"Nov 05, 2020","74.11","74.07","74.21","71.77","7.40M","4.34%"
"Nov 04, 2020","71.03","70.00","72.80","68.12","9.72M","3.05%"
"Nov 03, 2020","68.93","65.61","69.15","65.53","7.99M","5.87%"
"Nov 02, 2020","65.11","64.25","66.14","62.60","8.86M","2.52%"
"Oct 30, 2020","63.51","67.46","67.59","62.20","16.33M","-7.12%"
"Oct 29, 2020","68.38","74.54","75.50","66.55","19.49M","-4.51%"
"Oct 28, 2020","71.61","73.16","74.27","70.44","11.00M","-3.83%"
"Oct 27, 2020","74.46","75.48","77.19","73.80","8.58M","0.59%"
"Oct 26, 2020","74.02","75.70","77.38","72.78","10.18M","-3.05%"
"Oct 23, 2020","76.35","75.99","77.15","73.54","20.22M","-3.61%"
"Oct 22, 2020","79.21","79.79","82.20","77.97","10.01M","-0.05%"
"Oct 21, 2020","79.25","83.81","84.13","78.58","14.06M","-5.00%"
"Oct 20, 2020","83.42","83.45","85.50","82.60","10.23M","-0.10%"
"Oct 19, 2020","83.50","85.00","86.84","82.45","18.44M","-1.38%"
"Oct 16, 2020","84.67","91.10","91.11","84.00","28.13M","-5.61%"
"Oct 15, 2020","89.70","86.59","95.30","85.34","57.72M","-27.18%"
"Oct 14, 2020","123.18","131.38","133.01","121.38","16.64M","-4.39%"
"Oct 13, 2020","128.83","127.92","136.29","127.04","10.33M","1.80%"
"Oct 12, 2020","126.55","128.00","129.14","124.13","7.33M","-0.02%"
"Oct 09, 2020","126.58","118.21","128.77","117.33","15.75M","9.38%"
"Oct 08, 2020","115.72","120.88","122.05","113.70","14.02M","-3.83%"
"Oct 07, 2020","120.33","103.13","121.30","103.08","22.99M","19.84%"
"Oct 06, 2020","100.41","97.44","103.50","96.23","8.46M","4.69%"
