"Date","Price","Open","High","Low","Change %"
"Feb 19, 2021","0.7304","0.7218","0.7316","0.7203","1.16%"
"Feb 18, 2021","0.7220","0.7189","0.7225","0.7175","0.43%"
"Feb 17, 2021","0.7189","0.7210","0.7214","0.7157","-0.33%"
"Feb 16, 2021","0.7213","0.7227","0.7269","0.7196","-0.18%"
"Feb 15, 2021","0.7226","0.7217","0.7250","0.7201","0.03%"
"Feb 12, 2021","0.7224","0.7228","0.7242","0.7175","-0.01%"
"Feb 11, 2021","0.7225","0.7214","0.7252","0.7204","0.17%"
"Feb 10, 2021","0.7213","0.7242","0.7247","0.7199","-0.37%"
"Feb 09, 2021","0.7240","0.7219","0.7255","0.7215","0.30%"
"Feb 08, 2021","0.7218","0.7176","0.7233","0.7172","0.29%"
"Feb 05, 2021","0.7197","0.7157","0.7207","0.7135","0.62%"
"Feb 04, 2021","0.7153","0.7199","0.7226","0.7146","-0.74%"
"Feb 03, 2021","0.7206","0.7192","0.7226","0.7183","0.22%"
"Feb 02, 2021","0.7190","0.7157","0.7198","0.7135","0.48%"
"Feb 01, 2021","0.7156","0.7180","0.7204","0.7150","-0.47%"
"Jan 29, 2021","0.7190","0.7170","0.7226","0.7150","0.28%"
"Jan 28, 2021","0.7170","0.7159","0.7196","0.7104","0.17%"
"Jan 27, 2021","0.7158","0.7235","0.7246","0.7146","-1.09%"
"Jan 26, 2021","0.7237","0.7198","0.7248","0.7167","0.57%"
"Jan 25, 2021","0.7196","0.7190","0.7218","0.7171","0.17%"
"Jan 22, 2021","0.7184","0.7207","0.7226","0.7167","-0.39%"
"Jan 21, 2021","0.7212","0.7170","0.7225","0.7168","0.60%"
"Jan 20, 2021","0.7169","0.7122","0.7175","0.7115","0.73%"
"Jan 19, 2021","0.7117","0.7108","0.7142","0.7102","0.15%"
"Jan 18, 2021","0.7106","0.7131","0.7147","0.7096","-0.45%"
"Jan 15, 2021","0.7138","0.7216","0.7230","0.7118","-1.00%"
"Jan 14, 2021","0.7210","0.7178","0.7240","0.7171","0.46%"
"Jan 13, 2021","0.7177","0.7213","0.7240","0.7165","-0.53%"
"Jan 12, 2021","0.7215","0.7158","0.7233","0.7157","0.77%"
"Jan 11, 2021","0.7160","0.7221","0.7248","0.7146","-1.13%"
"Jan 08, 2021","0.7242","0.7255","0.7282","0.7204","-0.17%"
"Jan 07, 2021","0.7254","0.7291","0.7307","0.7224","-0.48%"
"Jan 06, 2021","0.7289","0.7248","0.7316","0.7235","0.51%"
"Jan 05, 2021","0.7252","0.7172","0.7261","0.7167","1.10%"
"Jan 04, 2021","0.7173","0.7196","0.7232","0.7153","-0.33%"
"Jan 01, 2021","0.7197","0.7189","0.7199","0.7180","0.17%"
"Dec 31, 2020","0.7185","0.7204","0.7242","0.7182","-0.26%"
"Dec 30, 2020","0.7204","0.7149","0.7212","0.7143","0.80%"
"Dec 29, 2020","0.7147","0.7096","0.7165","0.7098","0.69%"
"Dec 28, 2020","0.7098","0.7106","0.7140","0.7084","-0.35%"
"Dec 25, 2020","0.7123","0.7099","0.7125","0.7082","0.30%"
"Dec 24, 2020","0.7102","0.7094","0.7119","0.7090","0.10%"
"Dec 23, 2020","0.7095","0.7044","0.7106","0.7030","0.77%"
"Dec 22, 2020","0.7041","0.7105","0.7110","0.7031","-0.86%"
"Dec 21, 2020","0.7102","0.7143","0.7148","0.7002","-0.32%"
"Dec 18, 2020","0.7125","0.7150","0.7156","0.7110","-0.32%"
"Dec 17, 2020","0.7148","0.7111","0.7172","0.7102","0.53%"
"Dec 16, 2020","0.7110","0.7088","0.7122","0.7053","0.32%"
"Dec 15, 2020","0.7087","0.7080","0.7099","0.7059","0.14%"
"Dec 14, 2020","0.7077","0.7079","0.7121","0.7075","0.10%"
"Dec 11, 2020","0.7070","0.7098","0.7114","0.7072","-0.37%"
"Dec 10, 2020","0.7096","0.7020","0.7100","0.7013","1.10%"
"Dec 09, 2020","0.7019","0.7036","0.7096","0.7010","-0.30%"
"Dec 08, 2020","0.7040","0.7042","0.7055","0.7023","-0.03%"
"Dec 07, 2020","0.7042","0.7038","0.7068","0.7005","-0.04%"
"Dec 04, 2020","0.7045","0.7075","0.7082","0.7028","-0.40%"
"Dec 03, 2020","0.7073","0.7072","0.7106","0.7050","0.06%"
"Dec 02, 2020","0.7069","0.7061","0.7085","0.7031","0.08%"
"Dec 01, 2020","0.7063","0.7019","0.7068","0.7010","0.60%"
"Nov 30, 2020","0.7021","0.7022","0.7052","0.7007","-0.03%"
"Nov 27, 2020","0.7023","0.7008","0.7040","0.7000","0.26%"
