"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19, 2021","290.00","293.39","298.00","287.71","2.31M","0.08%"
"Feb 18, 2021","289.78","284.51","296.95","281.50","2.26M","0.35%"
"Feb 17, 2021","288.78","289.00","292.82","283.27","1.70M","-1.96%"
"Feb 16, 2021","294.55","304.70","304.99","290.16","1.97M","-1.64%"
"Feb 12, 2021","299.47","299.00","303.34","292.34","1.52M","0.25%"
"Feb 11, 2021","298.73","305.25","312.30","296.38","2.29M","-2.35%"
"Feb 10, 2021","305.91","324.80","327.41","300.00","3.40M","-2.67%"
"Feb 09, 2021","314.29","304.50","323.23","302.27","4.32M","3.22%"
"Feb 08, 2021","304.50","308.71","317.90","302.03","2.37M","-0.51%"
"Feb 05, 2021","306.05","306.07","307.07","299.64","1.76M","0.80%"
"Feb 04, 2021","303.61","309.07","310.08","299.03","2.19M","-0.34%"
"Feb 03, 2021","304.64","309.49","318.75","300.55","4.63M","1.31%"
"Feb 02, 2021","300.71","289.90","310.66","286.79","7.22M","6.63%"
"Feb 01, 2021","282.00","275.00","283.15","273.82","2.23M","3.51%"
"Jan 29, 2021","272.45","275.00","277.02","267.50","2.18M","-0.25%"
"Jan 28, 2021","273.13","277.14","283.00","268.99","2.44M","2.60%"
"Jan 27, 2021","266.20","277.00","285.52","264.39","4.39M","-5.26%"
"Jan 26, 2021","280.98","287.01","288.65","280.98","1.95M","-2.18%"
"Jan 25, 2021","287.25","285.68","296.42","276.50","3.75M","0.55%"
"Jan 24, 2021","285.68","285.68","285.68","285.68","-","0.00%"
"Jan 22, 2021","285.68","284.29","287.48","279.00","2.05M","-0.22%"
"Jan 21, 2021","286.32","286.77","287.72","283.00","1.89M","1.58%"
"Jan 20, 2021","281.88","288.91","289.08","280.88","2.26M","-1.51%"
"Jan 19, 2021","286.21","294.29","294.65","284.10","3.14M","-1.75%"
"Jan 15, 2021","291.30","306.64","308.46","290.68","3.21M","-4.10%"
"Jan 14, 2021","303.76","304.30","313.33","300.47","4.59M","2.43%"
"Jan 13, 2021","296.55","295.89","306.58","294.80","2.87M","1.09%"
"Jan 12, 2021","293.35","296.84","299.24","286.52","3.26M","0.05%"
"Jan 11, 2021","293.19","291.67","312.00","287.99","4.52M","-2.30%"
"Jan 10, 2021","300.10","300.10","300.10","300.10","-","0.00%"
"Jan 09, 2021","300.10","300.10","300.10","300.10","-","0.00%"
"Jan 08, 2021","300.10","315.00","325.33","298.26","9.11M","-1.35%"
"Jan 07, 2021","304.20","272.50","304.82","268.61","16.55M","13.50%"
"Jan 06, 2021","268.02","279.57","283.51","266.45","5.74M","-5.57%"
"Jan 05, 2021","283.83","280.93","293.11","279.31","5.20M","2.01%"
"Jan 04, 2021","278.24","284.58","289.85","275.00","3.95M","-1.12%"
"Dec 31, 2020","281.40","299.23","301.55","280.79","5.31M","-6.49%"
"Dec 30, 2020","300.92","305.50","306.50","297.88","2.63M","-1.03%"
"Dec 29, 2020","304.05","305.13","314.20","298.19","4.83M","0.41%"
"Dec 28, 2020","302.81","325.35","327.79","302.70","4.76M","-6.26%"
"Dec 24, 2020","323.04","334.10","338.00","321.30","2.19M","-2.60%"
"Dec 23, 2020","331.65","342.00","342.02","328.39","2.75M","-2.79%"
"Dec 22, 2020","341.16","349.45","359.50","338.02","4.70M","-2.48%"
"Dec 21, 2020","349.85","329.78","350.00","329.26","5.88M","4.67%"
"Dec 18, 2020","334.25","331.64","346.70","325.00","8.12M","2.68%"
"Dec 17, 2020","325.54","334.00","337.10","323.77","3.72M","-1.34%"
"Dec 16, 2020","329.97","328.68","338.83","320.20","6.43M","0.41%"
"Dec 15, 2020","328.61","308.50","329.00","304.00","20.38M","-0.16%"
"Dec 14, 2020","329.15","354.78","357.21","327.18","6.98M","-7.01%"
"Dec 11, 2020","353.96","360.40","369.10","347.26","6.36M","-5.18%"
"Dec 10, 2020","373.28","361.53","390.07","361.00","4.91M","0.54%"
"Dec 09, 2020","371.26","392.92","405.88","361.18","8.98M","-4.81%"
